Japanese,English,Source
五の宮(2),Go No Miya (2),Auto-translated
五中前,Gochuu Mae,Auto-translated
五中前(1),Gochuu Mae (1),Auto-translated
五中前(2),Gochuu Mae (2),Auto-translated
五代,Godai,Auto-translated
五代(1),Godai (1),Auto-translated
五代(2),Godai (2),Auto-translated
五反田,Gotanda,Auto-translated
五条,Gojou,Auto-translated
五条(1),Gojou (1),Auto-translated
五条(2),Gojou (2),Auto-translated
五町田,Go Machida,Auto-translated
五町田(1),Go Machida (1),Auto-translated
五町田(2),Go Machida (2),Auto-translated
五町田（乗合タクシー）,Go Machida ( Noriai Takushii),Auto-translated
五領,Go Ryou,Auto-translated
井上病院前,Inoue Byouin Mae,Auto-translated
井原山入口,Ihara Yama Entrance,Auto-translated
井原（前原）,Ihara ( Maehara),Auto-translated
井手,Ide,Auto-translated
井手(1),Ide (1),Auto-translated
井手(2),Ide (2),Auto-translated
井手川内,Ide Kawauchi,Auto-translated
井手川内(1),Ide Kawauchi (1),Auto-translated
井手川内(2),Ide Kawauchi (2),Auto-translated
井手川内（乗合タクシー）,Ide Kawauchi ( Noriai Takushii),Auto-translated
井手野公民館,Ide No Community Center,Auto-translated
井田,Ida,Auto-translated
井田原,Ida Hara,Auto-translated
井田原北,Ida Hara North,Auto-translated
交流プラザ二丈館前,Kouryuu Puraza Nijou Tate Mae,Auto-translated
交流プラザ志摩館北口,Kouryuu Puraza Shima Kan Kitaguchi,Auto-translated
仁比山公園下,Niiyama Park Shita,Auto-translated
仁比山小学校前,Niiyama Shougakkou Mae,Auto-translated
仁比山神社前,Niiyama Jinja Mae,Auto-translated
仁比山神社前(1),Niiyama Jinja Mae (1),Auto-translated
仁比山神社前(2),Niiyama Jinja Mae (2),Auto-translated
今出,Imaide,Auto-translated
今出(1),Imaide (1),Auto-translated
今出(2),Imaide (2),Auto-translated
今原三差路,Imahara San Sa Michi,Auto-translated
今古賀（大和町）,Kinko Ga ( Yamatochou),Auto-translated
今宿市営住宅前,Imajuku Shiei Juutaku Mae,Auto-translated
今宿市営住宅前(1),Imajuku Shiei Juutaku Mae (1),Auto-translated
今宿市営住宅前(2),Imajuku Shiei Juutaku Mae (2),Auto-translated
今宿横町,Imajuku Yokochou,Auto-translated
今宿横町(1),Imajuku Yokochou (1),Auto-translated
今宿横町(2),Imajuku Yokochou (2),Auto-translated
今宿町,Imashukumachi,Mapped
今宿町(1),Imajuku Machi (1),Auto-translated
今宿町(2),Imajuku Machi (2),Auto-translated
今宿駅前,Imajuku Station,Auto-translated
今寺,Imadera,Auto-translated
今寺(1),Imadera (1),Auto-translated
今寺(2),Imadera (2),Auto-translated
今市,Imaichi,Auto-translated
今市(1),Imaichi (1),Auto-translated
今市(2),Imaichi (2),Auto-translated
今村,Imamura,Auto-translated
今津,Imazu,Auto-translated
今津(1),Imazu (1),Auto-translated
今津(2),Imazu (2),Auto-translated
今津上町,Imazu Uemachi,Auto-translated
今津上町(1),Imazu Uemachi (1),Auto-translated
今津上町(2),Imazu Uemachi (2),Auto-translated
今津下町,Imazu Shitamachi,Auto-translated
今津下町(1),Imazu Shitamachi (1),Auto-translated
今津下町(2),Imazu Shitamachi (2),Auto-translated
今津橋,Imazu Hashi,Auto-translated
今津橋(1),Imazu Hashi (1),Auto-translated
今津橋(2),Imazu Hashi (2),Auto-translated
今津運動公園前,Imazu Undoukouen Mae,Auto-translated
今津運動公園前(1),Imazu Undoukouen Mae (1),Auto-translated
今津運動公園前(2),Imazu Undoukouen Mae (2),Auto-translated
今組,Ima Kumi,Auto-translated
今組(1),Ima Kumi (1),Auto-translated
今組(2),Ima Kumi (2),Auto-translated
仏青寮前,Hotoke Ao Ryou Mae,Auto-translated
仮立上,Kari Ritsu Ue,Auto-translated
仲町,Nakachou,Auto-translated
伊万里ふるさと村,Imari Furusato Mura,Auto-translated
伊万里ふるさと村(1),Imari Furusato Mura (1),Auto-translated
伊万里ふるさと村(2),Imari Furusato Mura (2),Auto-translated
伊万里営業所,Imari Eigyousho,Auto-translated
伊万里駅前,Imari Station,Auto-translated
伊万里駅前(1),Imari Station (1),Auto-translated
伊万里駅前(2),Imari Station (2),Auto-translated
伊万里駅前(3),Imari Station (3),Auto-translated
伊仲,I Naka,Auto-translated
伊牟田,Imuta,Auto-translated
伊福,Ifuku,Auto-translated
伊福(1),Ifuku (1),Auto-translated
伊福(2),Ifuku (2),Auto-translated
伊賀屋,Igaya,Mapped
伊賀屋(1),Iga Ya (1),Auto-translated
伊賀屋(2),Iga Ya (2),Auto-translated
伊賀屋橋,Iga Ya Hashi,Auto-translated
伊達政宗陣跡（海青中学校前）,Datemasamune Jin'ato ( Umi Ao Chuugakkou Mae),Auto-translated
伊達政宗陣跡（海青中学校前）(1),Datemasamune Jin'ato ( Umi Ao Chuugakkou Mae)(1),Auto-translated
伊達政宗陣跡（海青中学校前）(2),Datemasamune Jin'ato ( Umi Ao Chuugakkou Mae)(2),Auto-translated
伊都の湯どころ入口,Ito No Yu Dokoro Entrance,Auto-translated
伊都営業所,Ito Eigyousho,Auto-translated
伊都国歴史博物館,Ito Kuni Rekishi Hakubutsukan,Auto-translated
伊都文化会館前,Ito Bunkakaikan Mae,Auto-translated
伊都文化会館前(1),Ito Bunkakaikan Mae (1),Auto-translated
伊都文化会館前(2),Ito Bunkakaikan Mae (2),Auto-translated
伏原入口,Fushihara Entrance,Auto-translated
伏原入口(1),Fushihara Entrance (1),Auto-translated
伏原入口(2),Fushihara Entrance (2),Auto-translated
伏龍団地,Fukuryou Danchi,Auto-translated
休石,Yasumiishi,Auto-translated
休石(1),Yasumiishi (1),Auto-translated
休石(2),Yasumiishi (2),Auto-translated
住吉,Sumiyoshi,Auto-translated
住吉(1),Sumiyoshi (1),Auto-translated
住吉(2),Sumiyoshi (2),Auto-translated
佐嘉神社前,Sa Kagami Shazen,Auto-translated
佐嘉神社前(1),Sa Kagami Shazen (1),Auto-translated
佐嘉神社前(2),Sa Kagami Shazen (2),Auto-translated
佐房,Sa Bou,Auto-translated
佐留志,Sarushi,Auto-translated
佐留志(1),Sarushi (1),Auto-translated
佐留志(2),Sarushi (2),Auto-translated
佐賀中部病院前,Saga Chuubu Byouin Mae,Auto-translated
佐賀中部病院前(1),Saga Chuubu Byouin Mae (1),Auto-translated
佐賀中部病院前(2),Saga Chuubu Byouin Mae (2),Auto-translated
佐賀中部病院西,Saga Central Hospital West,Mapped
佐賀中部病院西(1),Saga Chuubu Byouin West (1),Auto-translated
佐賀中部病院西(2),Saga Chuubu Byouin West (2),Auto-translated
佐賀北警察署前,Saga North Police Station,Mapped
佐賀北警察署前(1),Saga North Police Station Mae (1),Auto-translated
佐賀北警察署前(2),Saga North Police Station Mae (2),Auto-translated
佐賀営業所,Saga Eigyousho,Auto-translated
佐賀城跡,Saga Castle Ruins,Mapped
佐賀大学前,Sagadaigaku Mae,Auto-translated
佐賀大学前(1),Sagadaigaku Mae (1),Auto-translated
佐賀大学前(2),Sagadaigaku Mae (2),Auto-translated
佐賀大学前(3),Sagadaigaku Mae (3),Auto-translated
佐賀大学南,Sagadaigaku South,Auto-translated
佐賀大学南(1),Sagadaigaku South (1),Auto-translated
佐賀大学東,Sagadaigaku East,Auto-translated
佐賀大学東(1),Sagadaigaku East (1),Auto-translated
佐賀大学東(2),Sagadaigaku East (2),Auto-translated
佐賀大学病院,Saga University Hospital,Mapped
佐賀大学西,Saga University West,Mapped
佐賀大学西(1),Sagadaigaku West (1),Auto-translated
佐賀大学西(2),Sagadaigaku West (2),Auto-translated
佐賀女子短大・高校前,"Saga Women's Junior College, High School",Mapped
佐賀学園北,Saga Gakuen North,Mapped
佐賀学園北(1),Saga Gakuen North (1),Auto-translated
佐賀学園北(2),Saga Gakuen North (2),Auto-translated
佐賀工業高校前,Saga Kougyoukoukou Mae,Auto-translated
佐賀工業高校前(1),Saga Kougyoukoukou Mae (1),Auto-translated
佐賀工業高校前(2),Saga Kougyoukoukou Mae (2),Auto-translated
佐賀整肢学園前,Saga Sei Shi Gakuen Mae,Auto-translated
佐賀整肢学園前(1),Saga Sei Shi Gakuen Mae (1),Auto-translated
佐賀整肢学園前(2),Saga Sei Shi Gakuen Mae (2),Auto-translated
佐賀清和学園前,Saga Kiyokazu Gakuen Mae,Auto-translated
佐賀清和学園前(1),Saga Kiyokazu Gakuen Mae (1),Auto-translated
佐賀清和学園前(2),Saga Kiyokazu Gakuen Mae (2),Auto-translated
佐賀空港,Saga Airport,Mapped
佐賀空港(1),Saga Airport (1),Auto-translated
佐賀空港(2),Saga Airport (2),Auto-translated
佐賀記念病院,Saga Memorial Hospital,Mapped
佐賀銀行前,Saga Ginkou Mae,Auto-translated
佐賀駅バスセンター,Saga Station Bus Center,Mapped
佐賀駅バスセンター 1番のりば,Saga Sta. Basusentaa 1 Ban Noriba,Auto-translated
佐賀駅バスセンター 2番のりば,Saga Sta. Basusentaa 2 Ban Noriba,Auto-translated
佐賀駅バスセンター 3番のりば,Saga Sta. Basusentaa 3 Ban Noriba,Auto-translated
佐賀駅バスセンター 4番のりば,Saga Sta. Basusentaa 4 Ban Noriba,Auto-translated
佐賀駅バスセンター 5番のりば,Saga Sta. Basusentaa 5 Ban Noriba,Auto-translated
佐賀駅バスセンター 6番のりば,Saga Sta. Basusentaa 6 Ban Noriba,Auto-translated
佐賀駅バスセンター 7番のりば,Saga Sta. Basusentaa 7 Ban Noriba,Auto-translated
佐賀駅バスセンター 9番のりば,Saga Sta. Basusentaa 9 Ban Noriba,Auto-translated
佐賀駅北口,Saga Station North Gate,Mapped
佐賀駅北口(1),Saga Sta. Kitaguchi (1),Auto-translated
佐賀駅北口(2),Saga Sta. Kitaguchi (2),Auto-translated
佐賀駅北口(3),Saga Sta. Kitaguchi (3),Auto-translated
佐賀駐屯地,Saga Chuuton Chi,Auto-translated
佐賀駐屯地(1),Saga Chuuton Chi (1),Auto-translated
佐賀駐屯地(2),Saga Chuuton Chi (2),Auto-translated
佐野・三重津歴史館入口,Sano . Mie Tsu Rekishikan Entrance,Auto-translated
佐野・三重津歴史館入口(1),Sano . Mie Tsu Rekishikan Entrance (1),Auto-translated
佐野・三重津歴史館入口(2),Sano . Mie Tsu Rekishikan Entrance (2),Auto-translated
体育館前,Gymnasium Mae,Auto-translated
作出,Sakushutsu,Auto-translated
作出(1),Sakushutsu (1),Auto-translated
作出(2),Sakushutsu (2),Auto-translated
作出入口,Sakushutsu Entrance,Auto-translated
作出入口(1),Sakushutsu Entrance (1),Auto-translated
作出入口(2),Sakushutsu Entrance (2),Auto-translated
保健福祉事務所前,Hoken Fukushi Jimusho Mae,Auto-translated
保健福祉事務所前(1),Hoken Fukushi Jimusho Mae (1),Auto-translated
保健福祉事務所前(2),Hoken Fukushi Jimusho Mae (2),Auto-translated
修理田,Shuuri Ta,Auto-translated
修理田(1),Shuuri Ta (1),Auto-translated
修理田(2),Shuuri Ta (2),Auto-translated
値賀,Chika,Auto-translated
健康福祉センター前,Kenkou Fukushi Center Mae,Auto-translated
健康運動センター,Kenkou Undou Center,Auto-translated
健康運動センター(1),Kenkou Undou Center (1),Auto-translated
元小路,Moto Kouji,Auto-translated
元小路(1),Moto Kouji (1),Auto-translated
元小路(2),Moto Kouji (2),Auto-translated
元岡,Motooka,Auto-translated
元岡(1),Motooka (1),Auto-translated
元岡(2),Motooka (2),Auto-translated
元岡小学校前,Motooka Shougakkou Mae,Auto-translated
元岡小学校前(1),Motooka Shougakkou Mae (1),Auto-translated
元岡小学校前(2),Motooka Shougakkou Mae (2),Auto-translated
元岡農協前,Motooka Noukyou Mae,Auto-translated
元岡農協前(1),Motooka Noukyou Mae (1),Auto-translated
元岡農協前(2),Motooka Noukyou Mae (2),Auto-translated
元岡郵便局前,Motooka Yuubinkyoku Mae,Auto-translated
元岡郵便局前(1),Motooka Yuubinkyoku Mae (1),Auto-translated
元岡郵便局前(2),Motooka Yuubinkyoku Mae (2),Auto-translated
元村,Motomura,Auto-translated
先石,Saki Ishi,Auto-translated
先石(1),Saki Ishi (1),Auto-translated
先石(2),Saki Ishi (2),Auto-translated
先部,Saki Bu,Auto-translated
光法,Mitsunori,Auto-translated
光法(1),Mitsunori (1),Auto-translated
光法(2),Mitsunori (2),Auto-translated
光法北,Mitsunori North,Auto-translated
光法北(1),Mitsunori North (1),Auto-translated
光法北(2),Mitsunori North (2),Auto-translated
光法団地前,Mitsunori Danchi Mae,Auto-translated
光法団地前(1),Mitsunori Danchi Mae (1),Auto-translated
光法団地前(2),Mitsunori Danchi Mae (2),Auto-translated
光法西,Mitsunori West,Auto-translated
光法西(1),Mitsunori West (1),Auto-translated
光法西(2),Mitsunori West (2),Auto-translated
兎鹿野入口,Usagi Kano Entrance,Auto-translated
入野,Irino,Auto-translated
八丁,Hatchou,Auto-translated
八丁(1),Hatchou (1),Auto-translated
八丁(2),Hatchou (2),Auto-translated
八反原,Hattan Hara,Auto-translated
八反原(1),Hattan Hara (1),Auto-translated
八反原(2),Hattan Hara (2),Auto-translated
八反田,Hattanda,Auto-translated
八天社前,Hachi Amatsuyashiro Mae,Auto-translated
八幡橋,Hachiman Hashi,Auto-translated
八幡橋(1),Hachiman Hashi (1),Auto-translated
八幡橋(2),Hachiman Hashi (2),Auto-translated
八床入口,Hachi Tokoiri Kuchi,Auto-translated
八戸溝一丁目,Yaemizo Itchoume,Auto-translated
八戸溝一丁目(1),Yaemizo Itchoume (1),Auto-translated
八戸溝一丁目(2),Yaemizo Itchoume (2),Auto-translated
八戸溝二丁目,Yaemizo Nichoume,Auto-translated
八戸溝二丁目(1),Yaemizo Nichoume (1),Auto-translated
八戸溝二丁目(2),Yaemizo Nichoume (2),Auto-translated
八戸溝郵便局前,Yaemizo Yuubinkyoku Mae,Auto-translated
八戸溝郵便局前(1),Yaemizo Yuubinkyoku Mae (1),Auto-translated
八戸溝郵便局前(2),Yaemizo Yuubinkyoku Mae (2),Auto-translated
八折栄,Hachi Ori Sakae,Auto-translated
八永入口,Hachi Ei Entrance,Auto-translated
八田宮前,Hatta Miya Mae,Auto-translated
八田宮前(1),Hatta Miya Mae (1),Auto-translated
八田宮前(2),Hatta Miya Mae (2),Auto-translated
八田橋,Hatta Hashi,Auto-translated
八田橋(1),Hatta Hashi (1),Auto-translated
八田橋(2),Hatta Hashi (2),Auto-translated
八谷橋,Hachiya Hashi,Auto-translated
公園入口,Park Entrance,Auto-translated
公園入口(1),Park Entrance (1),Auto-translated
公園入口(2),Park Entrance (2),Auto-translated
公園入口(3),Park Entrance (3),Auto-translated
公民分館前,Koumin Bunkan Mae,Auto-translated
公立佐賀中央病院,Kouritsu Saga Chuuou Byouin,Auto-translated
六角橋,Rokkakubashi,Auto-translated
六角橋(1),Rokkakubashi (1),Auto-translated
六角橋(2),Rokkakubashi (2),Auto-translated
兵庫団地前,Hyougo Danchi Mae,Auto-translated
兵庫団地前(1),Hyougo Danchi Mae (1),Auto-translated
兵庫団地前(2),Hyougo Danchi Mae (2),Auto-translated
兵庫小学校西,Hyogo Elementary School West,Mapped
兵庫小学校西(1),Hyougo Shougakkou West (1),Auto-translated
兵庫小学校西(2),Hyougo Shougakkou West (2),Auto-translated
内木場,Uchikiba,Auto-translated
内野,Uchino,Mapped
内野(1),Naiya (1),Auto-translated
内野(2),Naiya (2),Auto-translated
内野上,Naiya Ue,Auto-translated
内野上(1),Naiya Ue (1),Auto-translated
内野上(2),Naiya Ue (2),Auto-translated
円応寺馬場,Ennou Tera Baba,Auto-translated
円応寺馬場(1),Ennou Tera Baba (1),Auto-translated
冬野入口,Fuyuno Entrance,Auto-translated
冬野入口(1),Fuyuno Entrance (1),Auto-translated
冬野入口(2),Fuyuno Entrance (2),Auto-translated
分校前,Bunkou Mae,Auto-translated
切木,Kirigo,Auto-translated
切木小学校前,Kirigo Shougakkou Mae,Auto-translated
切木郵便局前,Kirigo Yuubinkyoku Mae,Auto-translated
初,Hatsu,Auto-translated
初(1),Hatsu (1),Auto-translated
初(2),Hatsu (2),Auto-translated
初町,Hatchou,Auto-translated
別処,Betsu Tokoro,Auto-translated
別府,Beppu,Auto-translated
別府(1),Beppu (1),Auto-translated
別府(2),Beppu (2),Auto-translated
前原,Maehara,Auto-translated
前原(1),Maehara (1),Auto-translated
前原(2),Maehara (2),Auto-translated
前原インター口,Maehara Intaa Kuchi,Auto-translated
前原インター口(1),Maehara Intaa Kuchi (1),Auto-translated
前原インター口(2),Maehara Intaa Kuchi (2),Auto-translated
前原コミュニティセンター前,Maehara Komyuniteisentaa Mae,Auto-translated
前原コミュニティセンター前(1),Maehara Komyuniteisentaa Mae (1),Auto-translated
前原コミュニティセンター前(2),Maehara Komyuniteisentaa Mae (2),Auto-translated
前原中学校前,Maehara Chuugakkou Mae,Auto-translated
前原東中前,Maehara Higashinaka Mae,Auto-translated
前原駅北口,Maehara Station Kitaguchi,Auto-translated
前原駅南口,Maehara Station Minamiguchi,Auto-translated
加倉,Kakura,Auto-translated
加倉(1),Kakura (1),Auto-translated
加倉(3),Kakura (3),Auto-translated
加唐島・馬渡島・航路乗り場,Ka Tou Shima . Mawatari Shima . Kouro Noriba,Auto-translated
加布羅,Ka Nuno Ra,Auto-translated
加布羅(1),Ka Nuno Ra (1),Auto-translated
加布羅(2),Ka Nuno Ra (2),Auto-translated
加布里,Kafuri,Auto-translated
加布里東口,Kafuri Higashiguchi,Auto-translated
加布里東口(1),Kafuri Higashiguchi (1),Auto-translated
加布里東口(2),Kafuri Higashiguchi (2),Auto-translated
加布里東口（芥屋線）,Kafuri Higashiguchi ( Kai Ya Sen),Auto-translated
加布里東口（芥屋線）(1),Kafuri Higashiguchi ( Kai Ya Sen)(1),Auto-translated
加布里東口（芥屋線）(2),Kafuri Higashiguchi ( Kai Ya Sen)(2),Auto-translated
加布里駅前,Kafuri Station,Auto-translated
加布里（芥屋線）,Kafuri ( Kai Ya Sen),Auto-translated
加布里（芥屋線）(1),Kafuri ( Kai Ya Sen)(1),Auto-translated
加布里（芥屋線）(2),Kafuri ( Kai Ya Sen)(2),Auto-translated
加杭,Ka Kui,Auto-translated
加部島中部,Kabe Shimanaka Bu,Auto-translated
加部島杉村,Kabe Shima Sugimura,Auto-translated
勝宿神社,Kachi Shukujin Sha,Auto-translated
北原,Kitahara,Auto-translated
北原(1),Kitahara (1),Auto-translated
北原(2),Kitahara (2),Auto-translated
北原東口,Kitahara Higashiguchi,Auto-translated
北原東口(1),Kitahara Higashiguchi (1),Auto-translated
北原東口(2),Kitahara Higashiguchi (2),Auto-translated
北山,Northyama,Auto-translated
北山(1),Northyama (1),Auto-translated
北山(2),Northyama (2),Auto-translated
北山ダム東部入口,Kitayama Damu Toubu Entrance,Auto-translated
北山ダム東部入口(1),Kitayama Damu Toubu Entrance (1),Auto-translated
北山ダム東部入口(2),Kitayama Damu Toubu Entrance (2),Auto-translated
北山湖,Northyamako,Auto-translated
北川副公民館前,Kitagawa Fuku Community Center Mae,Auto-translated
北川副公民館前(1),Kitagawa Fuku Community Center Mae (1),Auto-translated
北川副公民館前(2),Kitagawa Fuku Community Center Mae (2),Auto-translated
北川副小西,Kitagawa Fuku Konishi,Auto-translated
北川副小西(1),Kitagawa Fuku Konishi (1),Auto-translated
北川副小西(2),Kitagawa Fuku Konishi (2),Auto-translated
北志田,North Shida,Auto-translated
北志田(1),North Shida (1),Auto-translated
北志田(2),North Shida (2),Auto-translated
北新地,Kitashinchi,Auto-translated
北新地(1),Kitashinchi (1),Auto-translated
北新地(2),Kitashinchi (2),Auto-translated
北方ゴルフ場前,Hoppou Gorufu Ba Mae,Auto-translated
北方ゴルフ場前(1),Hoppou Gorufu Ba Mae (1),Auto-translated
北方ゴルフ場前(2),Hoppou Gorufu Ba Mae (2),Auto-translated
北方大崎,Hoppou Oosaki,Auto-translated
北方大崎(1),Hoppou Oosaki (1),Auto-translated
北方大崎(2),Hoppou Oosaki (2),Auto-translated
北方駅前,Hoppou Station,Auto-translated
北方駅前(1),Hoppou Station (1),Auto-translated
北方駅前(2),Hoppou Station (2),Auto-translated
北波多,Kitahata,Auto-translated
北波多(1),Kitahata (1),Auto-translated
北波多(2),Kitahata (2),Auto-translated
北波多中学校前,Kitahata Chuugakkou Mae,Auto-translated
北波多中学校前(1),Kitahata Chuugakkou Mae (1),Auto-translated
北波多中学校前(2),Kitahata Chuugakkou Mae (2),Auto-translated
北浜,Kitahama,Auto-translated
北陵高校前,Hokuryou High School Mae,Auto-translated
北陵高校前(1),Hokuryou High School Mae (1),Auto-translated
北陵高校前(2),Hokuryou High School Mae (2),Auto-translated
北高前,North Taka Mae,Auto-translated
北高前(1),North Taka Mae (1),Auto-translated
北高前(2),North Taka Mae (2),Auto-translated
医学部入口,Igakubu Entrance,Auto-translated
医学部入口(1),Igakubu Entrance (1),Auto-translated
医学部入口(2),Igakubu Entrance (2),Auto-translated
医学部北,Igakubu North,Auto-translated
医学部北(1),Igakubu North (1),Auto-translated
医学部北(2),Igakubu North (2),Auto-translated
医学部西,Igakubu West,Auto-translated
医学部西(1),Igakubu West (1),Auto-translated
医学部西(2),Igakubu West (2),Auto-translated
医師会病院前,Ishikai Byouin Mae,Auto-translated
医療センター好生館,Medical Center Koseikan,Mapped
十丁畷手,Juu Chou Nawate Te,Auto-translated
十丁畷手(1),Juu Chou Nawate Te (1),Auto-translated
十丁畷手(2),Juu Chou Nawate Te (2),Auto-translated
十三塚,Juusan Tsuka,Auto-translated
十三塚(1),Juusan Tsuka (1),Auto-translated
十三塚(2),Juusan Tsuka (2),Auto-translated
十五,Juugo,Auto-translated
十五(1),Juugo (1),Auto-translated
十五(2),Juugo (2),Auto-translated
十五南,Juugo South,Auto-translated
十五南(1),Juugo South (1),Auto-translated
十五南(2),Juugo South (2),Auto-translated
千々岩,Chiji Iwa,Auto-translated
千々岩(1),Chiji Iwa (1),Auto-translated
千々岩(2),Chiji Iwa (2),Auto-translated
千々賀,Chiji Ga,Auto-translated
千々賀(1),Chiji Ga (1),Auto-translated
千々賀(2),Chiji Ga (2),Auto-translated
千代田町,Chiyoda Machi,Auto-translated
千代田町(1),Chiyoda Machi (1),Auto-translated
千代田町(2),Chiyoda Machi (2),Auto-translated
千反松,Sen Han Matsu,Auto-translated
千反松(1),Sen Han Matsu (1),Auto-translated
千反松(2),Sen Han Matsu (2),Auto-translated
千布,Chifu,Auto-translated
千布(1),Chifu (1),Auto-translated
千布(2),Chifu (2),Auto-translated
千布南,Chifu South,Auto-translated
千布南(1),Chifu South (1),Auto-translated
千布南(2),Chifu South (2),Auto-translated
千里,Senri,Auto-translated
半導体センター前,Handoutai Center Mae,Auto-translated
南佐賀,South Saga,Auto-translated
南佐賀(1),South Saga (1),Auto-translated
南佐賀(2),South Saga (2),Auto-translated
南波多郷学館下,Nanba Ta Kyougaku Tateshita,Auto-translated
南波多郷学館下(1),Nanba Ta Kyougaku Tateshita (1),Auto-translated
南波多郷学館下(2),Nanba Ta Kyougaku Tateshita (2),Auto-translated
南部消防署前,Nanbu Shoubousho Mae,Auto-translated
南里,Nanri,Auto-translated
南里(1),Nanri (1),Auto-translated
南里(2),Nanri (2),Auto-translated
南里南,Nanri South,Auto-translated
南里南(1),Nanri South (1),Auto-translated
南里南(2),Nanri South (2),Auto-translated
南風台中央,Hae Daichuuou,Auto-translated
南風台中央(1),Hae Daichuuou (1),Auto-translated
南風台中央(2),Hae Daichuuou (2),Auto-translated
南風台入口,Hae Dai Entrance,Auto-translated
南風台東,Hae Taitou,Auto-translated
南風台東(1),Hae Taitou (1),Auto-translated
南風台東(2),Hae Taitou (2),Auto-translated
博多バスターミナル,Hakata Bus Terminal,Auto-translated
博多五町,Hakata Go Machi,Auto-translated
博多五町(1),Hakata Go Machi (1),Auto-translated
博多五町(2),Hakata Go Machi (2),Auto-translated
博物館前,Museum,Mapped
博物館前(1),Hakubutsukan Mae (1),Auto-translated
博物館前(2),Hakubutsukan Mae (2),Auto-translated
卸センター前,Oroshi Center Mae,Auto-translated
卸センター前(1),Oroshi Center Mae (1),Auto-translated
原,Hara,Auto-translated
原(1),Hara (1),Auto-translated
原(2),Hara (2),Auto-translated
厳木コミュニティセンター前,Kyuuragi Komyuniteisentaa Mae,Auto-translated
厳木コミュニティセンター前(1),Kyuuragi Komyuniteisentaa Mae (1),Auto-translated
厳木コミュニティセンター前(2),Kyuuragi Komyuniteisentaa Mae (2),Auto-translated
厳木中学校前,Kyuuragi Chuugakkou Mae,Auto-translated
厳木中学校前(1),Kyuuragi Chuugakkou Mae (1),Auto-translated
厳木中学校前(2),Kyuuragi Chuugakkou Mae (2),Auto-translated
厳木市民センター前,Kyuuragi Shimin Center Mae,Auto-translated
厳木市民センター前(1),Kyuuragi Shimin Center Mae (1),Auto-translated
厳木市民センター前(2),Kyuuragi Shimin Center Mae (2),Auto-translated
厳木駅前,Kyuuragi Station,Auto-translated
厳木駅前(1),Kyuuragi Station (1),Auto-translated
厳木駅前(2),Kyuuragi Station (2),Auto-translated
古保志気,Port Hoshi Ki,Auto-translated
古保志気(2),Port Hoshi Ki (2),Auto-translated
古保志気(3),Port Hoshi Ki (3),Auto-translated
古枝小学校前,Furue Shougakkou Mae,Auto-translated
古枝小学校前(1),Furue Shougakkou Mae (1),Auto-translated
古枝小学校前(2),Furue Shougakkou Mae (2),Auto-translated
古湯温泉,Furuyu Hot Springs,Mapped
古湯温泉(1),Kotou Onsen (1),Auto-translated
古湯温泉(2),Kotou Onsen (2),Auto-translated
古賀小児科前,Koga Shounika Mae,Auto-translated
古賀山,Koga Yama,Auto-translated
古賀山(1),Koga Yama (1),Auto-translated
古賀山(2),Koga Yama (2),Auto-translated
吉原橋,Yoshihara Hashi,Auto-translated
吉原橋(1),Yoshihara Hashi (1),Auto-translated
吉原橋(2),Yoshihara Hashi (2),Auto-translated
吉田,Yoshida,Auto-translated
吉田公民館前,Yoshida Community Center Mae,Auto-translated
吉田公民館前(1),Yoshida Community Center Mae (1),Auto-translated
吉田公民館前(2),Yoshida Community Center Mae (2),Auto-translated
名場越,Mei Ba Etsu,Auto-translated
名護屋城博物館入口,Nagoya Shiro Hakubutsukan Entrance,Auto-translated
名護屋城博物館入口(1),Nagoya Shiro Hakubutsukan Entrance (1),Auto-translated
名護屋城博物館入口(2),Nagoya Shiro Hakubutsukan Entrance (2),Auto-translated
名護屋城址,Nagoya Joushi,Auto-translated
名護屋城址(1),Nagoya Joushi (1),Auto-translated
名護屋城址(2),Nagoya Joushi (2),Auto-translated
名護屋大橋,Nagoya Oohashi,Auto-translated
名護屋大橋(1),Nagoya Oohashi (1),Auto-translated
名護屋大橋(2),Nagoya Oohashi (2),Auto-translated
名護屋浜,Nagoya Hama,Auto-translated
名護屋港入口,Nagoya Minato Entrance,Auto-translated
名護屋港入口(1),Nagoya Minato Entrance (1),Auto-translated
名護屋港入口(2),Nagoya Minato Entrance (2),Auto-translated
呉服元町,Otakaramachi,Mapped
呉服元町(1),Gofuku Motomachi (1),Auto-translated
呉服元町(2),Gofuku Motomachi (2),Auto-translated
呉服町,Gofukuchou,Auto-translated
呉服町(1),Gofukuchou (1),Auto-translated
呉服町(2),Gofukuchou (2),Auto-translated
周船寺,Shuu Fune Tera,Auto-translated
周船寺(1),Shuu Fune Tera (1),Auto-translated
周船寺(2),Shuu Fune Tera (2),Auto-translated
周船寺小学校前,Shuu Fune Tera Shougakkou Mae,Auto-translated
周船寺小学校前(1),Shuu Fune Tera Shougakkou Mae (1),Auto-translated
周船寺小学校前(2),Shuu Fune Tera Shougakkou Mae (2),Auto-translated
周船寺東口,Shuu Fune Tera Higashiguchi,Auto-translated
周船寺東口(1),Shuu Fune Tera Higashiguchi (1),Auto-translated
周船寺東口(2),Shuu Fune Tera Higashiguchi (2),Auto-translated
周船寺駅,Shuu Fune Tera Station,Auto-translated
